"Customer Name","MW-BETHESDA HOSPITAL"
"Account Number","0490067501"
"Recorder ID","104804722"
"Service Address1",""
"Service Address2",""
CityStateZip,"","OH",""

"DATE","TIME","kWh","kQh"
"010105","0015","356.4","425.52"
"010105","0030","343.44","413.64"
"010105","0045","366.12","434.16"
"010105","0100","356.4","427.68"
"010105","0115","357.48","428.76"
"010105","0130","358.56","429.84"
"010105","0145","359.64","430.92"
"010105","0200","359.64","429.84"
"010105","0215","358.56","432"
"010105","0230","356.4","427.68"
"010105","0245","358.56","430.92"
"010105","0300","360.72","433.08"
"010105","0315","358.56","429.84"
"010105","0330","356.4","427.68"
"010105","0345","359.64","427.68"
"010105","0400","356.4","426.6"
"010105","0415","358.56","428.76"
"010105","0430","360.72","433.08"
"010105","0445","356.4","426.6"
"010105","0500","359.64","427.68"
"010105","0515","358.56","428.76"
"010105","0530","357.48","426.6"
"010105","0545","356.4","424.44"
"010105","0600","358.56","425.52"
"010105","0615","358.56","426.6"
"010105","0630","355.32","423.36"
"010105","0645","358.56","424.44"
"010105","0700","356.4","424.44"
"010105","0715","359.64","425.52"
"010105","0730","359.64","425.52"
"010105","0745","358.56","425.52"
"010105","0800","359.64","424.44"
"010105","0815","357.48","423.36"
"010105","0830","360.72","425.52"
"010105","0845","356.4","422.28"
"010105","0900","357.48","425.52"
"010105","0915","357.48","421.2"
"010105","0930","354.24","419.04"
"010105","0945","357.48","419.04"
"010105","1000","354.24","420.12"
"010105","1015","354.24","415.8"
"010105","1030","353.16","416.88"
"010105","1045","356.4","419.04"
"010105","1100","356.4","416.88"
"010105","1115","354.24","415.8"
"010105","1130","355.32","416.88"
"010105","1145","351","414.72"
"010105","1200","355.32","417.96"
"010105","1215","356.4","420.12"
"010105","1230","353.16","417.96"
"010105","1245","356.4","422.28"
"010105","1300","355.32","420.12"
"010105","1315","358.56","423.36"
"010105","1330","356.4","422.28"
"010105","1345","354.24","421.2"
"010105","1400","353.16","419.04"
"010105","1415","358.56","424.44"
"010105","1430","357.48","423.36"
"010105","1445","354.24","421.2"
"010105","1500","355.32","419.04"
"010105","1515","354.24","419.04"
"010105","1530","355.32","420.12"
"010105","1545","352.08","417.96"
"010105","1600","353.16","419.04"
"010105","1615","353.16","419.04"
"010105","1630","357.48","423.36"
"010105","1645","354.24","421.2"
"010105","1700","356.4","419.04"
"010105","1715","356.4","420.12"
"010105","1730","355.32","415.8"
"010105","1745","355.32","415.8"
"010105","1800","353.16","412.56"
"010105","1815","356.4","414.72"
"010105","1830","353.16","412.56"
"010105","1845","355.32","414.72"
"010105","1900","352.08","413.64"
"010105","1915","354.24","414.72"
"010105","1930","354.24","415.8"
"010105","1945","355.32","416.88"
"010105","2000","354.24","416.88"
"010105","2015","352.08","415.8"
"010105","2030","356.4","419.04"
"010105","2045","356.4","417.96"
"010105","2100","356.4","419.04"
"010105","2115","356.4","417.96"
"010105","2130","355.32","417.96"
"010105","2145","356.4","420.12"
"010105","2200","353.16","417.96"
"010105","2215","355.32","420.12"
"010105","2230","352.08","417.96"
"010105","2245","353.16","419.04"
"010105","2300","353.16","420.12"
"010105","2315","354.24","420.12"
"010105","2330","355.32","423.36"
"010105","2345","353.16","421.2"
"010105","2400","351","420.12"
"010205","0015","355.32","423.36"
"010205","0030","355.32","424.44"
"010205","0045","354.24","422.28"
"010205","0100","352.08","419.04"
"010205","0115","351","419.04"
"010205","0130","349.92","419.04"
"010205","0145","352.08","420.12"
"010205","0200","349.92","421.2"
"010205","0215","349.92","420.12"
"010205","0230","352.08","422.28"
"010205","0245","353.16","423.36"
"010205","0300","354.24","423.36"
"010205","0315","347.76","419.04"
"010205","0330","352.08","425.52"
"010205","0345","352.08","423.36"
"010205","0400","347.76","420.12"
"010205","0415","349.92","421.2"
"010205","0430","351","424.44"
"010205","0445","353.16","424.44"
"010205","0500","349.92","420.12"
"010205","0515","348.84","420.12"
"010205","0530","351","421.2"
"010205","0545","349.92","420.12"
"010205","0600","348.84","419.04"
"010205","0615","351","419.04"
"010205","0630","348.84","416.88"
"010205","0645","353.16","420.12"
"010205","0700","348.84","419.04"
"010205","0715","354.24","422.28"
"010205","0730","353.16","420.12"
"010205","0745","353.16","419.04"
"010205","0800","353.16","419.04"
"010205","0815","353.16","421.2"
"010205","0830","352.08","420.12"
"010205","0845","352.08","421.2"
"010205","0900","347.76","419.04"
"010205","0915","355.32","423.36"
"010205","0930","349.92","416.88"
"010205","0945","352.08","419.04"
"010205","1000","356.4","421.2"
"010205","1015","352.08","416.88"
"010205","1030","356.4","421.2"
"010205","1045","354.24","417.96"
"010205","1100","352.08","415.8"
"010205","1115","356.4","419.04"
"010205","1130","355.32","419.04"
"010205","1145","356.4","421.2"
"010205","1200","353.16","417.96"
"010205","1215","354.24","417.96"
"010205","1230","354.24","417.96"
"010205","1245","352.08","415.8"
"010205","1300","355.32","419.04"
"010205","1315","355.32","421.2"
"010205","1330","354.24","417.96"
"010205","1345","357.48","424.44"
"010205","1400","356.4","425.52"
"010205","1415","355.32","424.44"
"010205","1430","356.4","422.28"
"010205","1445","358.56","422.28"
"010205","1500","357.48","421.2"
"010205","1515","357.48","424.44"
"010205","1530","359.64","424.44"
"010205","1545","362.88","427.68"
"010205","1600","357.48","423.36"
"010205","1615","360.72","425.52"
"010205","1630","360.72","426.6"
"010205","1645","361.8","425.52"
"010205","1700","361.8","421.2"
"010205","1715","359.64","420.12"
"010205","1730","362.88","422.28"
"010205","1745","361.8","423.36"
"010205","1800","360.72","423.36"
"010205","1815","360.72","423.36"
"010205","1830","363.96","428.76"
"010205","1845","360.72","421.2"
"010205","1900","357.48","419.04"
"010205","1915","362.88","424.44"
"010205","1930","361.8","425.52"
"010205","1945","361.8","424.44"
"010205","2000","359.64","423.36"
"010205","2015","362.88","427.68"
"010205","2030","361.8","429.84"
"010205","2045","363.96","428.76"
"010205","2100","358.56","425.52"
"010205","2115","365.04","429.84"
"010205","2130","361.8","427.68"
"010205","2145","365.04","433.08"
"010205","2200","360.72","427.68"
"010205","2215","363.96","435.24"
"010205","2230","365.04","433.08"
"010205","2245","363.96","432"
"010205","2300","365.04","433.08"
"010205","2315","361.8","433.08"
"010205","2330","360.72","428.76"
"010205","2345","361.8","428.76"
"010205","2400","365.04","430.92"
"010305","0015","362.88","428.76"
"010305","0030","365.04","429.84"
"010305","0045","367.2","433.08"
"010305","0100","367.2","430.92"
"010305","0115","366.12","432"
"010305","0130","369.36","434.16"
"010305","0145","366.12","433.08"
"010305","0200","367.2","432"
"010305","0215","361.8","427.68"
"010305","0230","366.12","432"
"010305","0245","367.2","432"
"010305","0300","368.28","433.08"
"010305","0315","367.2","435.24"
"010305","0330","366.12","430.92"
"010305","0345","366.12","432"
"010305","0400","369.36","434.16"
"010305","0415","369.36","436.32"
"010305","0430","368.28","432"
"010305","0445","366.12","428.76"
"010305","0500","369.36","430.92"
"010305","0515","370.44","432"
"010305","0530","367.2","426.6"
"010305","0545","380.16","432"
"010305","0600","380.16","437.4"
"010305","0615","388.8","442.8"
"010305","0630","383.4","437.4"
"010305","0645","395.28","453.6"
"010305","0700","397.44","452.52"
"010305","0715","401.76","454.68"
"010305","0730","408.24","459"
"010305","0745","416.88","464.4"
"010305","0800","425.52","473.04"
"010305","0815","435.24","482.76"
"010305","0830","435.24","479.52"
"010305","0845","441.72","483.84"
"010305","0900","447.12","488.16"
"010305","0915","450.36","494.64"
"010305","0930","451.44","493.56"
"010305","0945","453.6","494.64"
"010305","1000","455.76","496.8"
"010305","1015","460.08","501.12"
"010305","1030","465.48","504.36"
"010305","1045","463.32","500.04"
"010305","1100","463.32","501.12"
"010305","1115","460.08","498.96"
"010305","1130","463.32","502.2"
"010305","1145","463.32","500.04"
"010305","1200","462.24","501.12"
"010305","1215","466.56","505.44"
"010305","1230","464.4","505.44"
"010305","1245","464.4","504.36"
"010305","1300","461.16","502.2"
"010305","1315","461.16","501.12"
"010305","1330","461.16","498.96"
"010305","1345","461.16","498.96"
"010305","1400","461.16","500.04"
"010305","1415","457.92","498.96"
"010305","1430","456.84","495.72"
"010305","1445","457.92","500.04"
"010305","1500","461.16","503.28"
"010305","1515","456.84","500.04"
"010305","1530","455.76","503.28"
"010305","1545","453.6","500.04"
"010305","1600","452.52","501.12"
"010305","1615","448.2","495.72"
"010305","1630","441.72","490.32"
"010305","1645","441.72","492.48"
"010305","1700","434.16","482.76"
"010305","1715","427.68","482.76"
"010305","1730","417.96","468.72"
"010305","1745","411.48","466.56"
"010305","1800","410.4","469.8"
"010305","1815","402.84","462.24"
"010305","1830","400.68","453.6"
"010305","1845","401.76","462.24"
"010305","1900","399.6","457.92"
"010305","1915","399.6","461.16"
"010305","1930","397.44","457.92"
"010305","1945","399.6","461.16"
"010305","2000","392.04","452.52"
"010305","2015","392.04","451.44"
"010305","2030","392.04","452.52"
"010305","2045","392.04","454.68"
"010305","2100","388.8","448.2"
"010305","2115","387.72","457.92"
"010305","2130","386.64","453.6"
"010305","2145","388.8","456.84"
"010305","2200","387.72","453.6"
"010305","2215","383.4","452.52"
"010305","2230","385.56","449.28"
"010305","2245","383.4","452.52"
"010305","2300","376.92","443.88"
"010305","2315","379.08","447.12"
"010305","2330","381.24","450.36"
"010305","2345","380.16","446.04"
"010305","2400","381.24","447.12"
"010405","0015","382.32","452.52"
"010405","0030","384.48","450.36"
"010405","0045","382.32","451.44"
"010405","0100","383.4","454.68"
"010405","0115","381.24","452.52"
"010405","0130","382.32","451.44"
"010405","0145","381.24","453.6"
"010405","0200","378","449.28"
"010405","0215","380.16","451.44"
"010405","0230","379.08","449.28"
"010405","0245","379.08","449.28"
"010405","0300","380.16","449.28"
"010405","0315","373.68","444.96"
"010405","0330","368.28","441.72"
"010405","0345","365.04","437.4"
"010405","0400","363.96","437.4"
"010405","0415","363.96","439.56"
"010405","0430","360.72","433.08"
"010405","0445","362.88","435.24"
"010405","0500","360.72","432"
"010405","0515","361.8","432"
"010405","0530","361.8","428.76"
"010405","0545","367.2","438.48"
"010405","0600","376.92","446.04"
"010405","0615","376.92","443.88"
"010405","0630","379.08","447.12"
"010405","0645","384.48","450.36"
"010405","0700","386.64","450.36"
"010405","0715","392.04","455.76"
"010405","0730","402.84","461.16"
"010405","0745","411.48","469.8"
"010405","0800","417.96","468.72"
"010405","0815","401.76","452.52"
"010405","0830","382.32","428.76"
"010405","0845","383.4","427.68"
"010405","0900","388.8","433.08"
"010405","0915","395.28","438.48"
"010405","0930","398.52","439.56"
"010405","0945","403.92","443.88"
"010405","1000","402.84","440.64"
"010405","1015","401.76","439.56"
"010405","1030","401.76","438.48"
"010405","1045","405","440.64"
"010405","1100","405","437.4"
"010405","1115","407.16","442.8"
"010405","1130","405","440.64"
"010405","1145","405","440.64"
"010405","1200","402.84","438.48"
"010405","1215","405","441.72"
"010405","1230","403.92","440.64"
"010405","1245","396.36","429.84"
"010405","1300","395.28","428.76"
"010405","1315","396.36","434.16"
"010405","1330","402.84","439.56"
"010405","1345","402.84","439.56"
"010405","1400","396.36","434.16"
"010405","1415","397.44","435.24"
"010405","1430","397.44","433.08"
"010405","1445","395.28","434.16"
"010405","1500","396.36","436.32"
"010405","1515","389.88","434.16"
"010405","1530","387.72","428.76"
"010405","1545","385.56","429.84"
"010405","1600","384.48","430.92"
"010405","1615","380.16","424.44"
"010405","1630","379.08","425.52"
"010405","1645","372.6","421.2"
"010405","1700","369.36","421.2"
"010405","1715","359.64","411.48"
"010405","1730","349.92","402.84"
"010405","1745","346.68","398.52"
"010405","1800","341.28","395.28"
"010405","1815","334.8","390.96"
"010405","1830","336.96","397.44"
"010405","1845","335.88","394.2"
"010405","1900","333.72","388.8"
"010405","1915","331.56","390.96"
"010405","1930","329.4","383.4"
"010405","1945","327.24","385.56"
"010405","2000","325.08","380.16"
"010405","2015","326.16","382.32"
